"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","mean","se","l_ci","u_ci"
"Togo 2013-14","Togo","2013-14",2013,"Togo","TG2013DHS","TG","TGO",768,"TG",NA,"TGIR61FL","TGBR61FL","TGCR61FL","TGPR61FL","v022",0.091,0.00452550235935481,0.0820156260007661,0.0998228296143427
"Togo 1998","Togo","1998",1998,"Togo","TG1998DHS","TG","TGO",768,"TG",NA,"TGIR31FL","","TGCR31FL","TGPR31FL","v024 v025",0.12,0.00674870046763833,0.106906024443766,0.133474469070598
"Turkey 2013","Turkey","2013",2013,"Turkey","TR2013DHS","TR","TUR",792,"TR",NA,"TRIR61FL","TRBR61FL","","TRPR62FL","v023",0.132,0.00543764970670899,0.121197185491921,0.142555464657319
"Turkey 2003","Turkey","2003",2003,"Turkey","TR2003DHS","TR","TUR",792,"TR",1,"TRIR4AFL","TRBR4AFL","","TRPR4AFL","v023",0.164,0.00601342818284944,0.151873228003142,0.175489611851549
"Turkey 1998","Turkey","1998",1998,"Turkey","TR1998DHS","TR","TUR",792,"TR",1,"TRIR41FL","","TRCR41FL","TRPR41FL","v023",0.2,0.00736455579503431,0.185459607940813,0.214403471721595
"Turkey 1993","Turkey","1993",1993,"Turkey","TR1993DHS","TR","TUR",792,"TR",1,"TRIR31FL","","","TRPR31FL","v023 v025",0.222,0.00817181458884347,0.206306544818493,0.238421645354693
"Uganda 2016","Uganda","2016",2016,"Uganda","UG2016DHS","UG","UGA",800,"UG",NA,"UGIR7BFL","UGBR7BFL","UGCR7BFL","UGPR7BFL","v022",0.043,0.00226786955259591,0.0380530255161062,0.046959193839405
"Uganda 2011","Uganda","2011",2011,"Uganda","UG2011DHS","UG","UGA",800,"UG",NA,"UGIR60FL","UGBR60FL","UGCR61FL","UGPR61FL","v024 v025",0.045,0.00397394642358097,0.0371897682844404,0.0528153510659385
"Uganda 2006","Uganda","2006",2006,"Uganda","UG2006DHS","UG","UGA",800,"UG",NA,"UGIR52FL","UGBR52FL","UGCR52FL","UGPR52FL","v024 v025",0.045,0.00472699179239231,0.0356698248820082,0.0542621473528057
"Uganda 2000-01","Uganda","2000-01",2000,"Uganda","UG2000DHS","UG","UGA",800,"UG",NA,"UGIR41FL","","UGCR41FL","UGPR41FL","v024 v025",0.031,0.0037137229828576,0.0239961147717476,0.0386140225470346
"Uganda 1995","Uganda","1995",1995,"Uganda","UG1995DHS","UG","UGA",800,"UG",NA,"UGIR33FL","","UGCR33FL","UGPR33FL","v023",0.06,0.00558707510341912,0.0493677237173522,0.0713718757946439
"Ukraine 2007","Ukraine","2007",2007,"Ukraine","UA2007DHS","UA","UKR",804,"UA",NA,"UAIR51FL","UABR51FL","UACR51FL","UAPR51FL","v024 v025",0.11,0.00694820863039493,0.0959835706386249,0.123286806476077
"Uzbekistan 1996","Uzbekistan","1996",1996,"Uzbekistan","UZ1996DHS","UZ","UZB",860,"UZ",NA,"UZIR31FL","UZBR31FL","","UZPR31FL","v023",0.298,0.0176178216758917,0.263548342685684,0.333138604859881
"Vietnam 2002","Vietnam","2002",2002,"Viet Nam","VN2002DHS","VN","VNM",704,"VN",1,"VNIR41FL","VNBR41FL","","VNPR41FL","v024 v025",0.193,0.00763141471132968,0.178310954454208,0.208409520836927
"Vietnam 1997","Vietnam","1997",1997,"Viet Nam","VN1997DHS","VN","VNM",704,"VN",1,"VNIR31FL","","","VNPR31FL","v024 v025",0.197,0.0077968303711387,0.181132341220356,0.211883312747577
"Yemen 2013","Yemen","2013",2013,"Yemen","YE2013DHS","YE","YEM",887,"YE",NA,"YEIR61FL","YEBR61FL","","YEPR61FL","v022",0.255,0.00671261581578944,0.242122109193899,0.268478128920905
"Yemen 1991-92","Yemen","1991-92",1991,"Yemen","YE1991DHS","YE","YEM",887,"YE",1,"YEIR21FL","","","YEPR21FL","v024 v025",0.259,0.0101817170653213,0.239303955389321,0.279405881461237
"Zambia 2018","Zambia","2018",2018,"Zambia","ZM2018DHS","ZM","ZMB",894,"ZM",NA,"ZMIR71FL","ZMBR71FL","ZMCR71FL","ZMPR71FL","v022",0.027,0.0022353383989191,0.0229502660255804,0.0317328786494832
"Zambia 2013-14 ","Zambia","2013-14",2013,"Zambia","ZM2013DHS","ZM","ZMB",894,"ZM",NA,"ZMIR61FL","ZMBR61FL","ZMCR61FL","ZMPR61FL","v022",0.03,0.00225680345213088,0.0257170320280906,0.0345788395669168
"Zambia 2007 ","Zambia","2007",2007,"Zambia","ZM2007DHS","ZM","ZMB",894,"ZM",NA,"ZMIR51FL","ZMBR51FL","ZMCR51FL","ZMPR51FL","v022",0.023,0.00259116617555823,0.0177124340671264,0.0279106242782111
"Zambia 2001-02","Zambia","2001-02",2001,"Zambia","ZM2002DHS","ZM","ZMB",894,"ZM",NA,"ZMIR42FL","","ZMCR42FL","ZMPR43FL","v024 v025",0.034,0.00304938736313003,0.0282589072287593,0.0402589852674257
"Zambia 1996","Zambia","1996",1996,"Zambia","ZM1996DHS","ZM","ZMB",894,"ZM",NA,"ZMIR31FL","","ZMCR31FL","ZMPR31FL","v023",0.04,0.00348949090559751,0.0332557154772906,0.0469908101261101
"Zambia 1992","Zambia","1992",1992,"Zambia","ZM1992DHS","ZM","ZMB",894,"ZM",NA,"ZMIR21FL","","","ZMPR21FL","v024 v025",0.045,0.00475752355692703,0.0356912980756801,0.0544304446692181
"Zimbabwe 2015","Zimbabwe","2015",2015,"Zimbabwe","ZW2015DHS","ZW","ZWE",716,"ZW",NA,"ZWIR71FL","ZWBR71FL","ZWCR72FL","ZWPR72FL","v022",0.083,0.00496248344396827,0.0733489671463847,0.0928635353822032
"Zimbabwe 2010-11","Zimbabwe","2010-11",2010,"Zimbabwe","ZW2010DHS","ZW","ZWE",716,"ZW",NA,"ZWIR62FL","ZWBR62FL","ZWCR62FL","ZWPR62FL","v022",0.112,0.00608999985392297,0.0995936616220457,0.123540721023361
"Zimbabwe 2005-06","Zimbabwe","2005-06",2005,"Zimbabwe","ZW2005DHS","ZW","ZWE",716,"ZW",NA,"ZWIR52FL","ZWBR52FL","ZWCR52FL","ZWPR52FL","v024 v025",0.109,0.00573923559621005,0.0979108200554482,0.12047860643266
"Zimbabwe 1999","Zimbabwe","1999",1999,"Zimbabwe","ZW1999DHS","ZW","ZWE",716,"ZW",NA,"ZWIR42FL","","ZWCR41FL","ZWPR42FL","v023",0.097,0.00669543713129789,0.083931691069197,0.110328010228514
"Zimbabwe 1994","Zimbabwe","1994",1994,"Zimbabwe","ZW1994DHS","ZW","ZWE",716,"ZW",NA,"ZWIR31FL","","ZWCR31FL","ZWPR31FL","v023",0.09,0.00575973590471056,0.0787844949345327,0.101491873740828
