"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","v013","Live_MIL","ci_l","ci_u"
"Bangladesh 2007 ","Bangladesh","2007",2007,"Bangladesh","BD2007DHS","BD","BGD",50,"BD",1,"BDIR51FL","","BDCR51FL","BDPR51FL","v023",7,0.0571825057961257,0.0419868607474185,0.0774331631396579
"Bangladesh 2004","Bangladesh","2004",2004,"Bangladesh","BD2004DHS","BD","BGD",50,"BD",1,"BDIR4JFL","","BDCR4JFL","BDPR4JFL","v024 v025",1,0.415435103669078,0.385931623116909,0.445557522422168
"Bangladesh 2004","Bangladesh","2004",2004,"Bangladesh","BD2004DHS","BD","BGD",50,"BD",1,"BDIR4JFL","","BDCR4JFL","BDPR4JFL","v024 v025",2,0.274227510026476,0.252630872120286,0.296936853393349
"Bangladesh 2004","Bangladesh","2004",2004,"Bangladesh","BD2004DHS","BD","BGD",50,"BD",1,"BDIR4JFL","","BDCR4JFL","BDPR4JFL","v024 v025",3,0.202814997993156,0.182614817841306,0.224635566046349
"Bangladesh 2004","Bangladesh","2004",2004,"Bangladesh","BD2004DHS","BD","BGD",50,"BD",1,"BDIR4JFL","","BDCR4JFL","BDPR4JFL","v024 v025",4,0.144100161495287,0.125726736424508,0.164652958928462
"Bangladesh 2004","Bangladesh","2004",2004,"Bangladesh","BD2004DHS","BD","BGD",50,"BD",1,"BDIR4JFL","","BDCR4JFL","BDPR4JFL","v024 v025",5,0.107288905134415,0.0888468068826182,0.129017020411068
"Bangladesh 2004","Bangladesh","2004",2004,"Bangladesh","BD2004DHS","BD","BGD",50,"BD",1,"BDIR4JFL","","BDCR4JFL","BDPR4JFL","v024 v025",6,0.0846066943141515,0.0660487897207665,0.107777141418013
"Bangladesh 2004","Bangladesh","2004",2004,"Bangladesh","BD2004DHS","BD","BGD",50,"BD",1,"BDIR4JFL","","BDCR4JFL","BDPR4JFL","v024 v025",7,0.0468729904142218,0.0336538125410612,0.0649357259892298
"Bangladesh 1999-00","Bangladesh","1999-00",1999,"Bangladesh","BD2000DHS","BD","BGD",50,"BD",1,"BDIR41FL","","BDCR41FL","BDPR41FL","v023",1,0.35832164392215,0.33202555407694,0.385498443002918
"Bangladesh 1999-00","Bangladesh","1999-00",1999,"Bangladesh","BD2000DHS","BD","BGD",50,"BD",1,"BDIR41FL","","BDCR41FL","BDPR41FL","v023",2,0.26379225137789,0.243431343413541,0.285214163514816
"Bangladesh 1999-00","Bangladesh","1999-00",1999,"Bangladesh","BD2000DHS","BD","BGD",50,"BD",1,"BDIR41FL","","BDCR41FL","BDPR41FL","v023",3,0.204104921545562,0.184016211243868,0.22577987070557
"Bangladesh 1999-00","Bangladesh","1999-00",1999,"Bangladesh","BD2000DHS","BD","BGD",50,"BD",1,"BDIR41FL","","BDCR41FL","BDPR41FL","v023",4,0.146206751382861,0.128141952237548,0.166332379618882
"Bangladesh 1999-00","Bangladesh","1999-00",1999,"Bangladesh","BD2000DHS","BD","BGD",50,"BD",1,"BDIR41FL","","BDCR41FL","BDPR41FL","v023",5,0.114170044790388,0.0971721549545575,0.133700969845328
"Bangladesh 1999-00","Bangladesh","1999-00",1999,"Bangladesh","BD2000DHS","BD","BGD",50,"BD",1,"BDIR41FL","","BDCR41FL","BDPR41FL","v023",6,0.0668899268890307,0.050908908999619,0.0874254996566074
"Bangladesh 1999-00","Bangladesh","1999-00",1999,"Bangladesh","BD2000DHS","BD","BGD",50,"BD",1,"BDIR41FL","","BDCR41FL","BDPR41FL","v023",7,0.0463596014326457,0.0314643961720252,0.0678124729250719
"Bangladesh 1996-97","Bangladesh","1996-97",1996,"Bangladesh","BD1997DHS","BD","BGD",50,"BD",1,"BDIR3AFL","","BDCR3AFL","BDPR3AFL","v023 v025",1,0.381392990086322,0.351063146178839,0.412676822031479
"Bangladesh 1996-97","Bangladesh","1996-97",1996,"Bangladesh","BD1997DHS","BD","BGD",50,"BD",1,"BDIR3AFL","","BDCR3AFL","BDPR3AFL","v023 v025",2,0.271359569594,0.248287414397654,0.295732241460344
"Bangladesh 1996-97","Bangladesh","1996-97",1996,"Bangladesh","BD1997DHS","BD","BGD",50,"BD",1,"BDIR3AFL","","BDCR3AFL","BDPR3AFL","v023 v025",3,0.197520495297514,0.178424774444406,0.218117340225611
"Bangladesh 1996-97","Bangladesh","1996-97",1996,"Bangladesh","BD1997DHS","BD","BGD",50,"BD",1,"BDIR3AFL","","BDCR3AFL","BDPR3AFL","v023 v025",4,0.158411103843561,0.137965589265085,0.181249441929892
"Bangladesh 1996-97","Bangladesh","1996-97",1996,"Bangladesh","BD1997DHS","BD","BGD",50,"BD",1,"BDIR3AFL","","BDCR3AFL","BDPR3AFL","v023 v025",5,0.120650457289243,0.101306995699111,0.143099236023048
"Bangladesh 1996-97","Bangladesh","1996-97",1996,"Bangladesh","BD1997DHS","BD","BGD",50,"BD",1,"BDIR3AFL","","BDCR3AFL","BDPR3AFL","v023 v025",6,0.0778270338379412,0.0592418164006124,0.101613001870326
"Bangladesh 1996-97","Bangladesh","1996-97",1996,"Bangladesh","BD1997DHS","BD","BGD",50,"BD",1,"BDIR3AFL","","BDCR3AFL","BDPR3AFL","v023 v025",7,0.0475872974432945,0.0316427026384884,0.0709773964452623
"Bangladesh 1993-94","Bangladesh","1993-94",1993,"Bangladesh","BD1994DHS","BD","BGD",50,"BD",1,"BDIR31FL","","BDCR31FL","BDPR31FL","v023 v025",1,0.390191241492403,0.360521547139267,0.420696309693876
"Bangladesh 1993-94","Bangladesh","1993-94",1993,"Bangladesh","BD1994DHS","BD","BGD",50,"BD",1,"BDIR31FL","","BDCR31FL","BDPR31FL","v023 v025",2,0.275608184041452,0.253922405854044,0.298405246761274
"Bangladesh 1993-94","Bangladesh","1993-94",1993,"Bangladesh","BD1994DHS","BD","BGD",50,"BD",1,"BDIR31FL","","BDCR31FL","BDPR31FL","v023 v025",3,0.208458907326031,0.189500126759266,0.22877904779791
"Bangladesh 1993-94","Bangladesh","1993-94",1993,"Bangladesh","BD1994DHS","BD","BGD",50,"BD",1,"BDIR31FL","","BDCR31FL","BDPR31FL","v023 v025",4,0.167238560514196,0.146895307547366,0.189772406410201
"Bangladesh 1993-94","Bangladesh","1993-94",1993,"Bangladesh","BD1994DHS","BD","BGD",50,"BD",1,"BDIR31FL","","BDCR31FL","BDPR31FL","v023 v025",5,0.120542473096739,0.100567354074996,0.143850587544097
"Bangladesh 1993-94","Bangladesh","1993-94",1993,"Bangladesh","BD1994DHS","BD","BGD",50,"BD",1,"BDIR31FL","","BDCR31FL","BDPR31FL","v023 v025",6,0.0874424279026444,0.0680570429312254,0.111687803393136
"Bangladesh 1993-94","Bangladesh","1993-94",1993,"Bangladesh","BD1994DHS","BD","BGD",50,"BD",1,"BDIR31FL","","BDCR31FL","BDPR31FL","v023 v025",7,0.0617559341647324,0.042938881087089,0.0880604202396309
